site_code,site_name,site_type_name,latitude,longitude,rkm,rkm_total,min_start_date,max_end_date,site_description
IHA,Ice Harbor Adult,Adult Fishway,46.249527,-118.879964,522.016,538,2003-03-01,2005-04-08,Ice Harbor Dam Adult Fishways (both); replaced by ICH
LMA,Lower Monumental Adult Ladders,Adult Fishway,46.562564,-118.538249,522.067,589,2014-01-30,NA,This site monitors both fish ladders at Lower Monumental Dam. Two antennas are installed upstream and downstream of each counting window in each ladder.
LTR,Lower Tucannon River,Instream Remote Detection System,46.544192,-118.162901,522.100.003,625,2005-10-13,2020-08-27,"LTR is a permanent instream PIT tag interrogation site at RKM 2.5 on the Tucannon River.  The current configuration installed August 2020 consists of three rows of antennas. The upstream row consists of 2  20-foot HDPE antennas, the middle row consists of 2 20 foot HDPE antennas and 1 10 foot PVC antenna, the bottom row consists of 2 HDPE antennas, installed in flat-plate configuration.  Each antenna is powered by a Biomark Multiplexing Reader IS1001-MC master controller.  The antennas were built and installed by WDFW.  The electrical power at the site is provided by 6 200 watt solar panels.   Data currently will be downloaded by Biomark through a satellite modem. No environmental monitors are installed at this time. This site has variously consisted of one or two groups of arrays, about a kilometer apart, located near the mouth of the Tucannon River.  From Oct. 2005 until April 2008 the downstream array group consisted of two tandem ""log"" antenna arrays that spanned the low-water channel above the boat ramp.  The upstream array group was located at an abandoned railroad bridge abutment upstream of Hwy 261 on the Tucannon River downstream from Starbuck.  The upstream array (A0) operated from Oct. 2005 until January 2009.  Its various configurations included both pass-through and pass-over antennas.  A single array (C0) with six PVC pipe antennas powered by a QST Qube was re-deployed above the boat ramp in Sept. 2009.  Responsibility for site operations transferred from USFWS to WDFW on Jan. 7, 2010.  The C0 in-stream array was relocated below the Hwy 261 bridge on Sept. 29, 2010. The Qube was replaced with a Biomark IS1001-MC November 2018."
MTR,Middle Tucannon River,Instream Remote Detection System,46.505239,-118.016274,522.100.019,641,2011-09-23,2017-07-01,"The Middle Tucannon River site is located about 250 feet above the River Ranch Ln bridge on the Tucannon River, at River Kilometer 19.5. The site started operations with 6 antennas in 3 rows of 2 antennas each in September 2011. In July 2017, one row of two antennas was removed and an IS1001 MC was installed."
UTR,Upper Tucannon River,Instream Remote Detection System,46.415922,-117.738342,522.100.053,675,2011-10-19,2017-03-17,"The Upper Tucannon River site is located about 200 yards above Don Howards House on the Tucannon River, at River Kilometer 53.2."
TFH,Tucannon Fish Hatchery,Instream Remote Detection System,46.309627,-117.657161,522.100.059,681,2012-02-04,2020-02-08,"The Tucannon Fish Hatchery site is located at the Tucannon Fish Hatchery Adult Trap and Water Intake System on the Tucannon River, at River Kilometer 59.4. The site consists of six flat plate antennas (two rows of three antennas each) upstream of the weir, two antennas in the fish ladder and four flat plate antennas (two rows of two antennas each) approximately 400m downstream of the weir. The antennas in the fish ladder and downstream of the weir were added in December 2016 during a site overhaul that also included replacing the FS1001M transceiver with the IS1001-MC and the original 6 antennas. The antennas upstream of the weir were washed out February 2020 and have not yet been reinstalled. The site is connected to AC power and also includes a Campbell Scientific CR1000 data logger and remote communication via a satellite modem."
TPJ,Tucannon at Panjab Creek,Instream Remote Detection System,46.204596,-117.706176,522.100.078,700,2018-09-10,NA,"TPJ is a permanent instream PIT tag interrogation site at RKM 74.5 on the Tucannon River and Panjab Creek. The site consists of two rows of antennas spanning the wetted width of the Tucannon River and a single antenna in Panjab Creek. The upstream row consists of two 20-foot PVC antennas above the mouth of Panjab Creek, installed in a flat-plate configuration and the lower or downstream row consists of two 20-foot antenna below the mouth of Panjab Creek, there is a single 20-foot antenna in Panjab Creek approximately 20 feet upstream from the mouth. Each antenna is powered by an IS1001-MC. The antennas were built and installed by WDFW. A thermo-electric propane generator which runs off a 300-gallon propane tank provide the electrical power at the site. "
GOA,Little Goose Fish Ladder,Adult Fishway,46.582668,-118.027794,522.113,635,2014-03-28,NA,This site monitors the fish ladder at Little Goose Dam. Two antennas are installed at the counting window. All fish going past the counting window must pass through the two antennas.
PWA,Penawawa Creek,Instream Remote Detection System,46.713909,-117.684506,522.145.001,668,2022-02-09,NA,"PWA is a seasonal/temporary instream PIT tag interrogation site located at RKM 1.2 on Penawawa Creek, a tributary of the Snake River. The site consists of two rows with one antenna each, each row spans the entire width of the channel at both base and elevated flows. Each row consists of one 10-foot antenna, oriented in an upright or pass-through configuration. Both antennas are operated through a Destron-Fearing FS1001 MUX transceiver. Power is created at the site by Global Industries thermo electric generator. All infrastructure at this site is installed temporarily and operated from January/February until June."
GRA,Lower Granite Dam Adult,Adult Fishway,46.65776,-117.433225,522.173,695,1987-01-01,2016-02-17,Lower Granite Dam Adult Fishway and Fish Trap
