site_code,site_name,node,antenna_id,antenna_group,config_id
0HR,Henrys Instream Array,0HR,01,Main Array,100
0HR,Henrys Instream Array,0HR,02,Main Array,100
0HR,Henrys Instream Array,0HR,03,Main Array,100
18M,Eighteenmile Creek,18MA0,01,Upstream Array,100
18M,Eighteenmile Creek,18MA0,02,Middle Array,100
18M,Eighteenmile Creek,18MB0,03,Downstream Array,100
18M,Eighteenmile Creek,18MA0,01,Upstream Antenna,110
18M,Eighteenmile Creek,18MB0,02,Downstream Antenna,110
18M,Eighteenmile Creek,18MA0,01,Upstream Antenna,120
18M,Eighteenmile Creek,18MB0,02,Downstream Antenna,120
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,01,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,02,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,03,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,04,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,05,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,01,Single Array,110
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,02,Single Array,110
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,03,Single Array,110
ACB,Asotin Cr. at Cloverland Brdg.,ACBA0,01,Upstream Array,120
ACB,Asotin Cr. at Cloverland Brdg.,ACBA0,02,Upstream Array,120
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,03,Downstream Array,120
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,04,Downstream Array,120
ACM,Asotin Creek near mouth,ACMA0,F1,UPSTREAM ARRAY,100
ACM,Asotin Creek near mouth,ACMA0,F2,UPSTREAM ARRAY,100
ACM,Asotin Creek near mouth,ACMB0,F3,DOWNSTREAM ARRAY,100
ACM,Asotin Creek near mouth,ACMB0,F4,DOWNSTREAM ARRAY,100
ACM,Asotin Creek near mouth,ACMA0,01,UPSTREAM ARRAY,110
ACM,Asotin Creek near mouth,ACMA0,02,UPSTREAM ARRAY,110
ACM,Asotin Creek near mouth,ACMA0,03,MIDDLE ARRAY,110
ACM,Asotin Creek near mouth,ACMA0,04,MIDDLE ARRAY,110
ACM,Asotin Creek near mouth,ACMB0,05,DOWNSTREAM ARRAY,110
ACM,Asotin Creek near mouth,ACMB0,06,DOWNSTREAM ARRAY,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,01,NORTH FORK ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,02,NORTH FORK ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,03,MAINSTEM ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,04,MAINSTEM ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,05,MAINSTEM ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,06,SOUTH FORK ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,01,North Fork Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,02,South Fork Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,03,Mainstem Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,04,Mainstem Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,05,Mainstem Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,06,Mainstem Asotin Creek Array,110
AGC,"Agency Creek, Lemhi R. Basin",AGCA0,01,Upstream Array,100
AGC,"Agency Creek, Lemhi R. Basin",AGCA0,02,Middle Array,100
AGC,"Agency Creek, Lemhi R. Basin",AGCB0,03,Downstream Array,100
BBA,Big Bear Creek Array,BBAB0,01,Single Span,100
BBA,Big Bear Creek Array,BBAB0,02,Single Span,100
BBA,Big Bear Creek Array,BBAA0,01,Upstream Antenna,110
BBA,Big Bear Creek Array,BBAB0,02,Downstream Antenna,110
BHC,Bohannon Creek Lemhi R Basin,BHCA0,A1,UPSTREAM,100
BHC,Bohannon Creek Lemhi R Basin,BHCB0,A2,DOWNSTREAM,100
BHC,Bohannon Creek Lemhi R Basin,BHCA0,01,Upstream Array,110
BHC,Bohannon Creek Lemhi R Basin,BHCA0,02,Middle Array,110
BHC,Bohannon Creek Lemhi R Basin,BHCB0,03,Downstream Array,110
BHC,Bohannon Creek Lemhi R Basin,BHCA0,01,Upstream Antenna,120
BHC,Bohannon Creek Lemhi R Basin,BHCB0,02,Downstream Antenna,120
BRC,Bear Valley Adult Video Weir,BRC,A1,Video Chamber,100
BRC,Bear Valley Adult Video Weir,BRC,A2,Video Chamber,100
BSC,Big Sheep Creek ISA at km 6,BSCA0,A1,UPSTREAM LEFT,100
BSC,Big Sheep Creek ISA at km 6,BSCA0,A2,UPSTREAM RIGHT,100
BSC,Big Sheep Creek ISA at km 6,BSCB0,A3,DOWNSTREAM LEFT,100
BSC,Big Sheep Creek ISA at km 6,BSCB0,A4,DOWNSTREAM RIGHT,100
BTC,Big Timber Creek,BTCA0,B1,UPSTREAM 10-FT PASSBY ANTENNA,100
BTC,Big Timber Creek,BTCB0,B2,DNSTREAM 10-FT PASSBY ANTENNA,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,01,Upstream Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,02,Upstream Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,03,Middle Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,04,Middle Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLB0,05,Downstream Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLB0,06,Downstream Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,01,Upstream Antenna,110
BTL,"Lower Big Timber, Lemhi Basin",BTLB0,02,Downstream Antenna,110
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,01,Upstream Antenna,120
BTL,"Lower Big Timber, Lemhi Basin",BTLB0,02,Downstream Antenna,120
BTM,Big Timber Creek - Middle,BTMA0,01,Upstream Array,100
BTM,Big Timber Creek - Middle,BTMA0,02,Middle Array,100
BTM,Big Timber Creek - Middle,BTMA0,03,Middle Array,100
BTM,Big Timber Creek - Middle,BTMB0,04,Downstream Array,100
BTU,Big Timber Creek - Upper,BTUA0,A1,Upstream Array,100
BTU,Big Timber Creek - Upper,BTUA0,A2,Upstream Array,100
BTU,Big Timber Creek - Upper,BTUB0,A3,Downstream Array,100
BTU,Big Timber Creek - Upper,BTUB0,A4,Downstream Array,100
BTU,Big Timber Creek - Upper,BTUA0,A1,Upstream Array,110
BTU,Big Timber Creek - Upper,BTUA0,A2,Upstream Array,110
BTU,Big Timber Creek - Upper,BTUB0,A3,Downstream Array,110
BTU,Big Timber Creek - Upper,BTUB0,A4,Downstream Array,110
CAC,Canyon Creek ISA @ km 1,CACA0,C1,UPSTREAM ANTENNA,100
CAC,Canyon Creek ISA @ km 1,CACB0,C2,DOWNSTREAM ANTENNA,100
CAC,Canyon Creek ISA @ km 1,CACA0,01,Upstream Antenna,110
CAC,Canyon Creek ISA @ km 1,CACB0,02,Downstream Antenna,110
CCA,Lower Charley Creek ISA,CCAB0,01,Single Antenna,80
CCA,Lower Charley Creek ISA,CCAA0,01,Upstream Antenna,90
CCA,Lower Charley Creek ISA,CCAB0,02,Downstream Antenna,90
CCA,Lower Charley Creek ISA,CCAA0,F1,UPSTREAM ANTENNA,100
CCA,Lower Charley Creek ISA,CCAB0,F2,DOWNSTREAM ANTENNA,100
CCA,Lower Charley Creek ISA,CCAA0,01,UPSTREAM ANTENNA,110
CCA,Lower Charley Creek ISA,CCAB0,02,DOWNSTREAM ANTENNA,110
CCA,Lower Charley Creek ISA,CCAA0,03,UPSTREAM ANTENNA,120
CCA,Lower Charley Creek ISA,CCAB0,04,DOWNSTREAM ANTENNA,120
CCA,Lower Charley Creek ISA,CCAA0,03,Upstream Antenna,130
CCA,Lower Charley Creek ISA,CCAA0,04,Middle Antenna,130
CCA,Lower Charley Creek ISA,CCAB0,05,Downstream Antenna,130
CCA,Lower Charley Creek ISA,CCAA0,01,Upstream Antenna,140
CCA,Lower Charley Creek ISA,CCAA0,02,Middle Antenna,140
CCA,Lower Charley Creek ISA,CCAB0,03,Downstream Antenna,140
CCU,Catherine Creek at Union,CCUA0,01,Upstream Array,100
CCU,Catherine Creek at Union,CCUA0,02,Upstream Array,100
CCU,Catherine Creek at Union,CCUB0,03,Downstream Array,100
CCU,Catherine Creek at Union,CCUB0,04,Downstream Array,100
CCW,Catherine Creek Ladder/Weir,CCWA0,C1,Top Ladder Antenna,100
CCW,Catherine Creek Ladder/Weir,CCWB0,C2,Bottom Ladder Antenna,100
CCW,Catherine Creek Ladder/Weir,CCWA0,01,Top Ladder Antenna,110
CCW,Catherine Creek Ladder/Weir,CCWB0,02,Bottom Ladder Antenna,110
CEY,Cearley Creek Side Channel,CEYA0,01,Upstream Array,100
CEY,Cearley Creek Side Channel,CEYA0,02,Upstream Array,100
CEY,Cearley Creek Side Channel,CEYB0,03,Downstream Array,100
CEY,Cearley Creek Side Channel,CEYB0,04,Downstream Array,100
CLC,Clear Creek near Kooskia NFH,CLC,01,Clear Creek Array,100
CLC,Clear Creek near Kooskia NFH,CLC,02,Clear Creek Array,100
CLC,Clear Creek near Kooskia NFH,CLC,03,Clear Creek Array,100
CLC,Clear Creek near Kooskia NFH,CLC,04,Clear Creek Array,100
CLC,Clear Creek near Kooskia NFH,CLC,05,Clear Creek Array,100
CMP,Camp Creek at rkm 2 - Imnaha,CMPA0,C1,Upstream Array,100
CMP,Camp Creek at rkm 2 - Imnaha,CMPA0,C2,Upstream Array,100
CMP,Camp Creek at rkm 2 - Imnaha,CMPB0,C3,Downstream Array,100
CMP,Camp Creek at rkm 2 - Imnaha,CMPB0,C4,Downstream Array,100
COC,Cow Creek ISA @ stream mouth,COCA0,A1,UPSTREAM ANTENNA,100
COC,Cow Creek ISA @ stream mouth,COCB0,A2,DOWNSTREAM ANTENNA,100
CRA,Crooked River Array,CRAA0,01,Upstream Array,100
CRA,Crooked River Array,CRAA0,02,Upstream Array,100
CRA,Crooked River Array,CRAB0,03,Downstream Array,100
CRA,Crooked River Array,CRAB0,04,Downstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,01,Upstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,02,Upstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,03,Upstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,04,Middle Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,05,Middle Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,06,Middle Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCB0,07,Downstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCB0,08,Downstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCB0,09,Downstream Array,100
CZY,Crazyman Creek at 0.6 km,CZYA0,A1,Upstream Array,100
CZY,Crazyman Creek at 0.6 km,CZYA0,A2,Upstream Array,100
CZY,Crazyman Creek at 0.6 km,CZYB0,A3,Downstream Array,100
CZY,Crazyman Creek at 0.6 km,CZYB0,A4,Downstream Array,100
EPR,East Fork Potlatch Array,EPRA0,01,Upstream Antenna,100
EPR,East Fork Potlatch Array,EPRB0,02,Downstream Antenna,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A1,UPPER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A2,UPPER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A3,UPPER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A4,UPPER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A5,Upper In-stream Array,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A6,Upper In-stream Array,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B1,LOWER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B2,LOWER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B3,LOWER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B4,LOWER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B5,Lower In-stream Array,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B6,Lower In-stream Array,100
EVL,Eagle Valley Ranch - Lower,EVLA0,01,Upstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLA0,02,Upstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLA0,03,Upstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLB0,04,Downstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLB0,05,Downstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLB0,06,Downstream Array,100
