site_code,name,active,operational,first_year,last_year,first_date,last_date,last_file_opened_on,operation_period,operations_organization_code,rkm,site_type,latitude,longitude
0HR,Henrys Instream Array,TRUE,TRUE,2022,2024,2022-07-26T06:34:42,2023-01-01T00:00:00,2024-05-06T04:06:15,Year Round,BIOMRK,522.303.416.047,Instream Remote Detection System,44.896901,-113.624685
18M,Eighteenmile Creek,TRUE,NA,2014,2024,2015-06-25T00:00:00,2024-01-01T00:00:00,2024-05-06T04:43:11,Year Round,BIOMRK,522.303.416.092.001,Instream Remote Detection System,44.682795,-113.35366
ACB,Asotin Cr. at Cloverland Brdg.,TRUE,TRUE,2009,2024,2009-07-30T00:00:00,2024-01-01T00:00:00,2024-04-11T07:33:51,Year Round,SRSRB,522.234.005,Instream Remote Detection System,46.325584,-117.108679
ACM,Asotin Creek near mouth,TRUE,TRUE,2011,2024,2011-08-01T00:00:00,2024-01-01T00:00:00,2024-04-11T13:09:06,Year Round,SRSRB,522.234.001,Instream Remote Detection System,46.341368,-117.055707
AFC,No./So. Fk Asotin Cr. Jct. ISA,TRUE,TRUE,2009,2024,2009-07-30T00:00:00,2024-01-01T00:00:00,2024-04-11T07:50:46,Year Round,SRSRB,522.234.025,Instream Remote Detection System,46.272487,-117.292147
AGC,"Agency Creek, Lemhi R. Basin",FALSE,NA,2014,2016,2014-05-14T21:00:00,2016-11-06T06:10:00,NA,Seasonally,QCI,522.303.416.039.001,Instream Remote Detection System,44.956739,-113.639543
BBA,Big Bear Creek Array,TRUE,NA,2018,2024,2018-01-01T00:00:00,2023-11-02T00:00:00,2023-10-31T21:01:05,Seasonally,IDFG,522.224.024.023.002,Instream Remote Detection System,46.627882,-116.650795
BHC,Bohannon Creek Lemhi R Basin,TRUE,TRUE,2011,2024,2011-12-06T09:00:00,2024-01-01T00:00:00,2024-05-06T04:54:06,Year Round,BIOMRK,522.303.416.017.001,Instream Remote Detection System,45.112189,-113.746897
BSC,Big Sheep Creek ISA at km 6,TRUE,TRUE,2010,2024,2010-10-28T00:00:00,2024-01-01T00:00:00,2024-05-06T04:14:19,Year Round,BIOMRK,522.308.032.006,Instream Remote Detection System,45.506482,-116.850735
BTL,"Lower Big Timber, Lemhi Basin",TRUE,NA,2013,2024,2013-10-16T00:00:00,2024-01-01T00:00:00,2024-05-06T02:22:37,Year Round,BIOMRK,522.303.416.089.001,Instream Remote Detection System,44.697568,-113.374118
BTM,Big Timber Creek - Middle,FALSE,FALSE,2015,2018,2015-03-19T00:00:00,2018-04-20T00:00:00,NA,Year Round,IDFG,522.303.416.089.005,Instream Remote Detection System,44.660444,-113.377624
BTU,Big Timber Creek - Upper,FALSE,NA,2015,2018,2015-08-08T00:00:00,2018-08-01T00:00:00,NA,Year Round,IDFG,522.303.416.089.011,Instream Remote Detection System,44.61386,-113.397036
CAC,Canyon Creek ISA @ km 1,TRUE,NA,2010,2024,2010-11-12T11:41:00,2024-01-01T00:00:00,2024-05-06T01:42:00,Year Round,BIOMRK,522.303.416.090.001,Instream Remote Detection System,44.69109,-113.365281
CCA,Lower Charley Creek ISA,TRUE,TRUE,2009,2024,2009-08-07T00:00:00,2024-01-01T00:00:00,2024-04-11T08:37:27,Year Round,SRSRB,522.234.022.001,Instream Remote Detection System,46.288458,-117.282497
CEY,Cearley Creek Side Channel,FALSE,FALSE,2016,2018,2016-01-26T00:00:00,2018-10-09T00:00:00,NA,Year Round,SHOBAN,522.303.591.009,Instream Remote Detection System,44.339059,-114.72164
COC,Cow Creek ISA @ stream mouth,TRUE,TRUE,2011,2024,2011-02-15T00:00:00,2023-05-01T00:00:00,2024-04-12T11:39:27,Year Round,BIOMRK,522.308.006.001,Instream Remote Detection System,45.76774,-116.744037
CRA,Crooked River Array,TRUE,NA,2021,2024,2022-03-16T00:00:00,2024-01-01T00:00:00,2024-05-06T01:54:54,Year Round,IDFG,522.224.120.094.000,Instream Remote Detection System,45.821493,-115.52766
CRC,"Carmen Creek, Salmon R. Basin",FALSE,NA,2013,2018,2013-10-24T00:00:00,2017-02-03T00:00:00,NA,Year Round,BIOMRK,522.303.408.001,Instream Remote Detection System,45.246485,-113.893466
CZY,Crazyman Creek at 0.6 km,TRUE,TRUE,2014,2024,2014-03-25T00:00:00,2023-06-28T00:00:00,2024-04-25T13:23:34,Seasonally,NPT,522.308.080.001,Instream Remote Detection System,45.2293,-116.84478
EPR,East Fork Potlatch Array,TRUE,NA,2019,2024,2019-11-13T00:00:00,2024-01-01T00:00:00,2024-05-06T03:03:34,Year Round,IDFG,522.224.024.065.003,Instream Remote Detection System,46.795091,-116.41088
